Designator,Mid X,Mid Y,Rotation,Layer,,
C1,19.69,98.9,0,Top,,
C2,55.25,97.16,0,Top,,
C3,82.23,85.41,0,Top,,
C4,23.5,85.73,180,Top,,
C5,31.12,85.73,180,Top,,
C6,35.56,84.77,0,Top,,
C7,52.71,82.55,0,Top,,
C8,64.77,82.55,180,Top,,
C9,87.95,80.65,180,Top,,
C10,40.96,80.01,180,Top,,
C11,74.61,79.38,180,Top,,
C12,52.71,79.06,0,Top,,
C13,67.31,78.74,180,Top,,
C14,67.31,73.66,180,Top,,
C15,82.23,64.45,0,Top,,
C16,70.17,63.82,180,Top,,
C17,83.19,61.91,90,Top,,
C18,6.03,62.23,90,Top,,
C19,13.34,62.23,90,Top,,
C20,74.61,59.05,180,Top,,
C21,66.04,56.2,90,Top,,
C22,81.6,45.72,0,Top,,
C23,23.5,45.09,180,Top,,
C24,31.12,45.09,180,Top,,
C25,67.63,44.77,90,Top,,
C26,35.56,44.13,0,Top,,
C27,52.71,41.91,0,Top,,
C28,89.54,40.64,0,Top,,
C29,40.96,39.37,180,Top,,
C30,76.52,39.05,180,Top,,
C31,52.71,38.42,0,Top,,
C32,64.45,37.15,180,Top,,
C33,64.45,35.24,0,Top,,
C34,64.45,33.97,0,Top,,
C35,78.42,24.13,0,Top,,
C36,36.2,20.32,270,Top,,
C37,78.42,22.54,0,Top,,
C38,15.56,20.96,90,Top,,
C39,31.12,20.96,90,Top,,
C40,61.91,19.69,0,Top,,
C41,76.52,14.92,0,Top,,
C42,48.9,14.29,90,Top,,
C43,56.83,11.43,90,Top,,
C44,48.9,11.11,270,Top,,
C45,68.26,2.54,270,Top,,
D1,9.53,21.59,270,Top,,
D2,6.99,20.32,270,Top,,
D3,4.45,19.05,90,Top,,
IC1,55.25,94.3,180,Top,,DBZ_R-PDSO-G3
IC2,76.2,82.87,270,Top,,
IC3,29.53,82.23,270,Top,,
IC4,46.99,80.65,270,Top,,
IC5,67,76.2,270,Top,,
IC6,67,71.12,270,Top,,
IC7,76.2,62.55,270,Top,,
IC8,66.99,52.39,0,Top,,
IC9,78.11,42.55,270,Top,,
IC10,29.53,41.59,270,Top,,
IC11,62.55,40.64,90,Top,,
IC12,46.99,40.01,270,Top,,
IC13,63.18,27.94,270,Top,,
IC14,23.47,20.96,180,Top,,
IC15,80.65,18.73,270,Top,,
IC16,65.72,11.43,90,Top,,
JP1,1.91,98.43,0,Top,,
JP2,95.89,98.43,0,Top,,
JP3,95.89,4.45,0,Top,,
JP4,3.18,1.91,0,Top,,
L1,50.8,20.1,270,Top,,
Q1,8.57,83.82,0,Top,,
Q2,13.97,83.82,0,Top,,
Q3,8.26,43.82,0,Top,,
Q4,14.29,43.82,0,Top,,
R1,15.72,95.89,90,Top,,
R2,16.51,98.9,0,Top,,
R3,55.25,98.74,180,Top,,
R6,70.48,84.45,180,Top,,
R7,82.23,83.82,0,Top,,
R8,23.5,84.14,180,Top,,
R9,6.03,83.19,270,Top,,
R10,11.43,83.19,270,Top,,
R11,70.48,82.87,180,Top,,
R12,35.56,83.19,0,Top,,
R13,82.23,82.23,0,Top,,
R14,23.5,82.55,0,Top,,
R15,70.48,81.28,0,Top,,
R16,35.56,81.6,180,Top,,
R17,40.96,81.6,180,Top,,
R18,82.23,80.65,180,Top,,
R19,23.5,80.96,0,Top,,
R20,6.03,80.01,270,Top,,
R21,7.62,80.01,270,Top,,
R22,13.02,80.01,270,Top,,
R23,52.71,80.65,0,Top,,
R24,35.56,80.01,180,Top,,
R25,23.5,79.38,0,Top,,
R26,27.94,77.79,0,Top,,
R27,40.96,78.58,0,Top,,
R28,53.34,77.63,180,Top,,
R29,40.96,76.84,0,Top,,
R30,53.34,75.88,180,Top,,
R33,70.17,65.41,180,Top,,
R34,70.17,62.23,180,Top,,
R35,81.6,61.91,90,Top,,
R36,84.77,61.91,270,Top,,
R37,70.17,60.64,0,Top,,
R38,86.36,60.01,90,Top,,
R39,87.95,60.01,90,Top,,
R40,89.54,60.01,90,Top,,
R43,72.39,44.13,180,Top,,
R44,23.5,43.5,180,Top,,
R45,5.71,43.18,270,Top,,
R46,11.75,43.18,270,Top,,
R47,35.56,42.55,0,Top,,
R48,72.39,42.55,180,Top,,
R49,83.82,42.23,0,Top,,
R50,23.5,41.91,0,Top,,
R51,35.56,40.96,180,Top,,
R52,40.96,40.96,180,Top,,
R53,72.39,40.96,0,Top,,
R54,83.82,40.64,0,Top,,
R55,23.5,40.32,0,Top,,
R56,7.3,40.01,270,Top,,
R57,13.34,40.01,270,Top,,
R58,52.71,40.01,0,Top,,
R59,35.56,39.37,180,Top,,
R60,83.82,39.05,180,Top,,
R61,23.5,38.73,0,Top,,
R62,64.45,38.42,0,Top,,
R63,27.94,37.15,0,Top,,
R64,40.96,37.78,0,Top,,
R65,53.34,36.83,180,Top,,
R66,40.96,36.2,0,Top,,
R67,53.66,34.61,90,Top,,
R70,57.15,15.88,90,Top,,
R71,19.69,15.24,90,Top,,
R72,27.94,15.24,90,Top,,
R73,36.2,15.24,90,Top,,
R74,44.45,15.24,90,Top,,
