Designator,Mid X,Mid Y,Rotation,Layer
C1,34.93,99.7,90,Top
C2,12.07,97.16,180,Top
C3,17.14,95.09,90,Top
C4,19.05,89.85,90,Top
C5,13.02,77.47,0,Top
C6,16.83,77.47,180,Top
C7,20.32,77.47,180,Top
C8,19.37,73.98,90,Top
C9,9.84,64.14,270,Top
C10,18.41,62.23,0,Top
C11,27.94,58.42,270,Top
C12,17.14,51.44,180,Top
C13,17.14,49.85,180,Top
C14,15.88,44.13,270,Top
C15,20.96,44.13,90,Top
C16,14.29,40.01,270,Top
C17,15.24,32.07,270,Top
C18,20.32,32.07,90,Top
C19,15.88,24.13,270,Top
C20,20.96,24.13,90,Top
C21,14.29,19.05,270,Top
C22,29.53,16.51,90,Top
C23,13.65,15.56,0,Top
C24,17.14,13.02,0,Top
D1,6.35,104.14,0,Top
D2,29.21,104.14,0,Top
F1,2.54,104.14,0,Top
F2,36.83,104.14,0,Top
F3,2.54,2.54,0,Top
F4,36.2,2.54,0,Top
IC1,12.04,89.54,180,Top
IC2,25.4,58.42,0,Top
IC3,18.41,55.88,0,Top
IC4,17.78,38.1,0,Top
IC5,17.78,18.1,0,Top
IC6,26.99,16.51,0,Top
L1,19.05,95.15,90,Top
Q1,18.41,80.96,0,Top
Q2,4.76,42.86,270,Top
Q3,4.45,14.29,270,Top
R2,1.59,91.44,270,Top
R3,16.19,86.04,0,Top
R4,1.59,76.2,270,Top
R6,1.59,71.12,270,Top
R7,1.59,65.41,270,Top
R8,1.59,60.01,270,Top
R9,22.86,58.42,90,Top
R10,11.75,52.39,90,Top
R12,18.41,45.09,0,Top
R13,34.61,43.82,90,Top
R14,18.41,43.18,180,Top
R15,1.91,42.86,90,Top
R16,8.57,42.86,0,Top
R17,21.27,38.1,90,Top
R18,16.83,32.07,90,Top
R19,18.41,32.07,270,Top
R20,15.24,28.89,90,Top
R22,18.41,25.08,0,Top
R23,12.07,23.18,90,Top
R24,18.41,23.18,180,Top
R25,31.12,16.51,270,Top
R26,21.91,15.56,0,Top
R27,1.59,14.29,90,Top
R28,8.26,14.29,180,Top
R29,13.65,13.97,180,Top
R30,21.91,13.97,0,Top
R31,13.65,12.38,0,Top
SW3,34.61,60.33,270,Top
SW5,34.61,38.42,270,Top
UC1,14.61,68.9,180,Top
