Comment,Footprint,Designator
,EVQQ2,"SW3, SW4"
,M06SIP,JP2
,TAC_SWITCHPTH,"SW1, SW2"
,WE-CBF_0603,"L1, L2, L3"
1.0k,R-US_R0603,"R55, R56"
100k,R-US_R0603,"R11, R14, R19, R21, R22, R34, R35, R52"
100n,C-USC0603,"C6, C9, C10, C11, C13, C15, C17, C19, C20, C25, C27, C31, C35, C37, C39, C44, C45, C47, C48"
10k,R-US_R0603,"R6, R7, R8"
10kB,POT_USVERTICAL,"R45, R46, R47, R48, R49"
10kB,POT_USVERTICAL_PS,"R9, R10, R28, R29, R30"
10n,C-USC0603,"C26, C28, C36, C38"
10u,CPOL-USA,"C12, C21, C32, C33, C34, C40, C41, C46"
12.288MHz,CRYSTALHC49UP,Q3
120k,R-US_R0603,"R20, R23, R24, R36, R37"
180,R-US_R0603,"R1, R3, R4, R5"
180k,R-US_R0603,R15
18p,C-USC0603,"C4, C5, C23, C24, C42, C43"
1M,R-US_R0603,R53
1N5819HW,DIODE-SOD123,"D1, D2"
1u,C-USC0603,"C7, C18, C30"
2.2k,R-US_R0603,"R12, R16, R17"
2.2n,C-USC0603,"C14, C29"
2.2u,C-USC0805,"C16, C22"
20k,R-US_R0603,"R18, R25, R26, R31, R32"
220p,C-USC0603,C49
22u,CPOL-USC,C1
3.3M,R-US_R0603,R50
36k,R-US_R0603,"R27, R54"
4.7,R-US_R1206,R2
4051PW,4051PW,IC4
470k,R-US_R0603,R57
47k,R-US_R0603,"R13, R33, R38, R39, R41, R42, R44"
47u,CPOL-USD,"C2, C3, C8"
6.8k,R-US_R0603,"R40, R43, R51"
8MHz,CRYSTALHC49UP,Q1
BAT54S,DIODE_2CACA-SOT23,D3
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-3.3,REG1117T,IC1
LM4040B10,LM4041B12DBZ,IC3
M05X2MINIJTAG,M05X2MINIJTAG,JP1
M05X2PTH,M05X2PTH,JP3
MCP6002,TL072D,IC5
MCP6004,TL074D,IC7
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,Q2
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10"
SOLDERJUMPERNC2,SOLDERJUMPERNC2,SJ1
STM32F405RGT6,STM32F20X,IC2
TL072,TL072D,IC8
WM8731,WM8731,IC6
WP115VEGW,LED-BICOLOR-THROUGHHOLE,"LED1, LED2"
