Comment,Designator,Footprint
1.0M,"R12, R15, R26, R27, R52, R55, R67, R68",R0402
1.2k,"R6, R38, R45, R78",R0402
100k,"R7, R11, R14, R25, R33, R37, R46, R51, R54, R66, R76, R79",R0402
100n,"C3, C4, C7, C8, C11, C15, C19, C20, C23, C24, C27, C28, C31, C35, C39, C40",C0402
100p,"C6, C17, C26, C37",C0402
1N5819HW,"D1, D2",SOD123
20M,"R19, R20, R59, R60",R0402
22u,"C1, C2, C21, C22",PANASONIC_B
24k,"R16, R39, R56, R64, R72",R0402
3.6k,R74,R0402
470n,"C12, C16, C32, C36",C0402
47p,"C5, C18, C25, C38, C41, C42, C43, C44",C0402
49.9k,"R17, R23, R57, R63",R0402
5.1k,"R5, R9, R10, R30, R31, R32, R34, R44, R48, R49, R50, R71, R73, R75",R0402
5.6k,"R4, R36, R43",R0402
510R,"R2, R8, R13, R18, R21, R22, R24, R35, R41, R47, R53, R58, R61, R62, R65, R77",R0402
560p,"C9, C10, C13, C14, C29, C30, C33, C34",C0402
LM358PW,"IC2, IC6",TSSOP8
LM4040C10,IC9,DBZ_R-PDSO-G3
LM4040C25,IC8,DBZ_R-PDSO-G3
OPA1654,"IC1, IC4, IC5, IC10",TSSOP14
V2164SZ,"IC3, IC7",SOIC16N
